,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
,31.899,31.944,32.015999,32.009998,31.934999,31.988001,31.940001,31.969,31.938999,31.948999,31.934999,31.983999,31.950001,31.941999,31.945999,31.950001,31.951,32.014999,31.98,31.931,31.954,31.934,31.941,31.881001,31.917,31.95199976
,49.909,49.883999,49.915001,49.956001,49.925999,49.895,49.901001,49.945,49.916,49.918999,49.938999,49.903,49.852001,49.875,49.847,49.872002,50.202999,49.849998,49.917999,49.891998,49.931,49.984001,49.893002,49.882,49.881001,49.91552
,71.861,71.867996,71.809998,71.844002,71.805,71.843002,71.822998,71.825996,71.863998,71.834,73.412003,71.884003,71.877998,71.898003,71.911003,71.838997,71.848,71.851997,71.874001,71.838997,71.903,71.832001,72.261002,72.184998,71.875999,71.94679968
,,,,,,,,,,,,,,,,,,,,,,,,,,
inserttion,1.299,1.284,1.283,1.281,1.298,1.313,1.283,1.281,1.281,1.296,1.284,1.285,1.282,1.33,1.283,1.281,1.27,1.296,1.299,1.281,1.293,1.296,1.299,1.297,1.286,1.29044
,5.128,5.171,5.155,5.18,5.227,5.194,5.144,5.194,5.147,5.17,5.158,5.157,5.155,5.17,5.108,5.202,5.152,5.193,5.128,5.186,5.159,5.158,5.16,5.18,5.144,5.1648
,11.591,11.611,11.605,11.606,11.631,11.611,11.576,11.599,11.59,11.622,11.575,11.609,11.67,11.65,11.611,11.603,11.629,11.609,11.603,11.594,11.593,11.622,11.607,11.607,11.611,11.6094
,20.681999,20.615999,20.663,20.638,20.657,20.687,20.632,20.646,20.671,20.632999,20.612,20.643,20.676001,20.629999,20.671,20.643,20.68,20.608999,20.636,20.740999,20.653,20.676001,20.681,20.657,20.632,20.65459984
,32.243,32.216,32.209999,32.234001,32.320999,32.278,32.231998,32.153999,32.263,32.241001,32.356998,32.258999,32.367001,32.303001,32.254002,32.261002,32.264,32.323002,32.287998,32.284,32.293999,32.325001,32.285999,32.328999,32.169998,32.27023984
,46.555,46.462002,46.435001,46.485001,46.445999,46.43,46.622002,46.507,46.512001,46.391998,46.487,46.439999,46.484001,46.530998,46.526001,46.441002,46.537998,46.519001,46.497002,46.509998,46.441002,46.498001,46.570999,46.479,46.495998,46.49216016
,,,,,,,,,,,,,,,,,,,,,,,,,,
quick,0,0.015,0,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00124
,0.016,0.015,0.016,0.015,0.016,0.016,0.015,0.016,0.015,0.016,0.016,0.015,0.016,0.016,0.015,0.016,0.015,0.016,0.016,0,0,0,0,0,0,0.01188
,0.016,0.031,0.016,0.016,0.031,0.016,0.031,0.015,0.016,0.031,0.016,0.016,0.015,0.016,0.031,0.016,0.016,0.031,0.016,0.031,0.016,0.016,0.031,0.016,0.031,0.02132
,0.031,0.031,0.016,0.031,0.032,0.031,0.031,0.015,0.031,0.031,0.031,0.031,0.031,0.032,0.031,0.031,0.015,0.016,0.031,0.031,0.031,0.032,0.031,0.031,0.031,0.02864
,0.047,0.031,0.031,0.031,0.031,0.047,0.031,0.031,0.047,0.031,0.031,0.047,0.031,0.032,0.031,0.031,0.047,0.031,0.031,0.047,0.031,0.031,0.031,0.047,0.031,0.03552
,0.031,0.047,0.047,0.047,0.047,0.047,0.047,0.031,0.046,0.047,0.031,0.031,0.047,0.047,0.047,0.047,0.047,0.032,0.047,0.047,0.047,0.032,0.032,0.047,0.047,0.0426
,,,,,,,,,,,,,,,,,,,,,,,,,,
